,circuit,loading-time,execution-time
0,3_17_14_tof-numpy-backend.pkl,0.0009379386901855469,0.004439592361450195
1,alu-v0_26_tof-numpy-backend.pkl,0.000732421875,0.06435155868530273
2,mod5d1_63_tof-numpy-backend.pkl,0.00043582916259765625,0.011948347091674805
3,4mod5-bdd_287_tof-numpy-backend.pkl,0.0007016658782958984,0.11274099349975586
4,ex-1_166_tof-numpy-backend.pkl,0.0003478527069091797,0.002254009246826172
5,miller_11_tof-numpy-backend.pkl,0.0005710124969482422,0.005379915237426758
6,3_17_13_tof-numpy-backend.pkl,0.0013632774353027344,0.03327298164367676
7,decod24-enable_125_tof-numpy-backend.pkl,0.0006105899810791016,0.06966161727905273
8,toffoli_2_tof-numpy-backend.pkl,0.0002894401550292969,0.0012192726135253906
9,4gt5_76_tof-numpy-backend.pkl,0.0009517669677734375,0.041930437088012695
10,4gt11_82_tof-numpy-backend.pkl,0.0005791187286376953,0.017099857330322266
11,decod24-bdd_294_tof-numpy-backend.pkl,0.0007343292236328125,0.038439273834228516
12,decod24-v0_38_tof-numpy-backend.pkl,0.001055002212524414,0.008435487747192383
13,4mod5-v0_18_tof-numpy-backend.pkl,0.0006802082061767578,0.027890920639038086
14,4_49_16_tof-numpy-backend.pkl,0.0016758441925048828,0.12580013275146484
15,4gt4-v0_72_tof-numpy-backend.pkl,0.001577615737915039,0.31528306007385254
16,mod5mils_65_tof-numpy-backend.pkl,0.0004630088806152344,0.007460117340087891
17,alu-bdd_288_tof-numpy-backend.pkl,0.0007550716400146484,0.09346175193786621
18,aj-e11_165_tof-numpy-backend.pkl,0.0010762214660644531,0.10388731956481934
19,rd32_270_tof-numpy-backend.pkl,0.0007801055908203125,0.022968292236328125
20,4_49_17_tof-numpy-backend.pkl,0.0007328987121582031,0.03276538848876953
